OBJECTID,LocationDesc,Bound,StartDate,StartDay,EndDate,EndDay,ADTVolume,AMVolume,AMPkHrVol,PMVolume,PMPkHrVol,ExceptType,Comment,CountID,LocationID,CountType,x,y
2305,NE SHAVER ST W of NE CESAR E CHAVEZ BLVD,W,5/12/2019,MON,5/13/2019,TUE,275,117,50,158,38,Normal Weekday,@ 3818,19051302.VL2,LEG33352,VOLUME,-13650400.3047,5708814.499799997
2306,NE SIMPSON CT E of 42ND AVE / AINSWORTH ST,E,10/2/2018,WED,10/4/2018,FRI,86,23,4,63,13,Normal Weekday,@ 4329,18100382.VL2,LEG33473,VOLUME,-13650024.9791,5711141.434900001
2307,NE SIMPSON CT E of 42ND AVE / AINSWORTH ST,W,10/2/2018,WED,10/4/2018,FRI,64,21,5,43,10,Normal Weekday,@ 4329,18100382.VL2,LEG33473,VOLUME,-13650024.9791,5711141.434900001
2308,NE SISKIYOU ST E of 14TH AVE,E,12/2/2014,WED,12/4/2014,FRI,409,110,25,299,71,Normal Weekday,@ 1409,14120306.VL2,LEG33505,VOLUME,-13653474.8455,5707763.2863000035
2309,NE SISKIYOU ST E of 14TH AVE,W,12/2/2014,WED,12/4/2014,FRI,254,85,26,169,27,Normal Weekday,@ 1409,14120306.VL2,LEG33505,VOLUME,-13653474.8455,5707763.2863000035
2310,NE SISKIYOU ST E of 84TH AVE,E,1/12/2014,MON,1/15/2014,THU,345,84,20,261,40,Normal Weekday,,14011308.VL2,LEG33615,VOLUME,-13645167.6238,5707655.885499999
2311,NE SISKIYOU ST E of 84TH AVE,W,1/12/2014,MON,1/15/2014,THU,303,119,39,184,27,Normal Weekday,,14011308.VL2,LEG33615,VOLUME,-13645167.6238,5707655.885499999
2312,NE SISKIYOU ST E of 84TH AVE,E,3/3/2014,TUE,3/5/2014,THU,360,87,20,273,44,Normal Weekday,@ 8400,14030404.VL2,LEG33615,VOLUME,-13645167.6238,5707655.885499999
2313,NE SISKIYOU ST E of 84TH AVE,W,3/3/2014,TUE,3/5/2014,THU,339,140,44,199,36,Normal Weekday,@ 8400,14030404.VL2,LEG33615,VOLUME,-13645167.6238,5707655.885499999
2314,NE SISKIYOU ST E of 9TH AVE,E,12/9/2014,WED,12/10/2014,THU,477,99,30,378,114,Normal Weekday,@ 920,14121014.VL2,LEG33497,VOLUME,-13654039.7831,5707765.9120000005
2315,NE SISKIYOU ST E of 9TH AVE,W,12/9/2014,WED,12/10/2014,THU,385,154,51,231,44,Normal Weekday,@ 920,14121014.VL2,LEG33497,VOLUME,-13654039.7831,5707765.9120000005
2316,NE SISKIYOU ST W of 11TH AVE,E,8/7/2018,WED,8/9/2018,FRI,580,108,27,472,111,Normal Weekday,WITH BIKES,18080871.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2317,NE SISKIYOU ST W of 11TH AVE,W,8/7/2018,WED,8/9/2018,FRI,565,259,80,306,43,Normal Weekday,WITH BIKES,18080871.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2318,NE SISKIYOU ST W of 11TH AVE,E,8/7/2018,WED,8/9/2018,FRI,481,99,25,382,90,Normal Weekday,WITHOUT BIKES,18080871A.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
2319,NE SISKIYOU ST W of 11TH AVE,W,8/7/2018,WED,8/9/2018,FRI,428,173,45,255,33,Normal Weekday,WITHOUT BIKES,18080871A.VL2,LEG33500,VOLUME,-13653857.0625,5707765.357900001
